date,orbit,vv_mean_db,vv_min_db,vv_max_db,vv_std_db,vh_mean_db,vh_min_db,vh_max_db,vh_std_db,vh_vv_ratio_db,valid_fraction,scene_id
2026-01-13,ascending,-13.00673770904541,-100.0,1.9100996255874634,3.8965256214141846,-22.722230911254883,-100.0,-9.341961860656738,11.712169647216797,-9.715493202209473,1.0,S1A_IW_GRDH_1SDV_20260113T161746_20260113T161811_062751_07DE89_B54E_COG.SAFE
2026-01-19,ascending,-13.281249046325684,-36.216064453125,1.602635145187378,3.954227924346924,-22.13066291809082,-100.0,-8.531839370727539,8.520482063293457,-8.849413871765137,1.0,S1C_IW_GRDH_1SDV_20260119T161633_20260119T161658_005975_00BFCB_95C7_COG.SAFE
2026-01-25,ascending,-16.28848648071289,-100.0,4.4252705574035645,6.431830883026123,-29.433252334594727,-100.0,-8.587738990783691,21.98550033569336,-13.144765853881836,1.0,S1A_IW_GRDH_1SDV_20260125T161745_20260125T161810_062926_07E4D7_2282_COG.SAFE
2026-01-31,ascending,-12.175729751586914,-32.48122024536133,-0.38353222608566284,3.5926859378814697,-19.3675537109375,-100.0,-8.043216705322266,6.289752960205078,-7.191823959350586,1.0,S1C_IW_GRDH_1SDV_20260131T161633_20260131T161658_006150_00C57D_AE87_COG.SAFE
2026-02-06,ascending,-11.86990737915039,-28.16860008239746,-0.4657687544822693,3.2362096309661865,-19.937179565429688,-100.0,-7.35554838180542,8.353195190429688,-8.067272186279297,1.0,S1A_IW_GRDH_1SDV_20260206T161744_20260206T161809_063101_07EB73_BA51_COG.SAFE
2026-02-12,ascending,-11.965887069702148,-25.553159713745117,-0.14249813556671143,3.2362067699432373,-19.279747009277344,-100.0,-6.626009464263916,5.203184604644775,-7.313859939575195,1.0,S1C_IW_GRDH_1SDV_20260212T161632_20260212T161657_006325_00CB7C_CF21_COG.SAFE
2026-02-18,ascending,-12.422877311706543,-27.988014221191406,-0.18948854506015778,3.6350183486938477,-21.290464401245117,-100.0,-7.215839862823486,10.588644027709961,-8.867587089538574,1.0,S1A_IW_GRDH_1SDV_20260218T161744_20260218T161809_063276_07F201_8C15_COG.SAFE
2026-02-24,ascending,-10.875961303710938,-25.94208526611328,-0.014941945672035217,2.968777894973755,-17.72952651977539,-100.0,-6.831170082092285,3.891303777694702,-6.853565216064453,1.0,S1C_IW_GRDH_1SDV_20260224T161632_20260224T161657_006500_00D192_5B68_COG.SAFE
2026-03-02,ascending,-12.027517318725586,-33.27543258666992,-1.0975468158721924,3.2811410427093506,-20.235197067260742,-100.0,-8.348794937133789,8.235941886901855,-8.207679748535156,1.0,S1A_IW_GRDH_1SDV_20260302T161743_20260302T161808_063451_07F8AF_6B92_COG.SAFE
2026-03-08,ascending,-12.717229843139648,-30.583377838134766,-0.2059641182422638,3.590031385421753,-20.028451919555664,-100.0,-7.14473295211792,6.177845001220703,-7.311222076416016,1.0,S1C_IW_GRDH_1SDV_20260308T161632_20260308T161657_006675_00D795_D7E2_COG.SAFE
2026-03-14,ascending,-12.971343994140625,-31.719945907592773,-1.063048005104065,3.6340317726135254,-20.973125457763672,-100.0,-6.787402153015137,10.073671340942383,-8.001781463623047,1.0,S1A_IW_GRDH_1SDV_20260314T161744_20260314T161809_063626_07FF55_220D_COG.SAFE
2026-03-20,ascending,-13.447986602783203,-31.643360137939453,-1.3662315607070923,3.5777008533477783,-20.65345001220703,-100.0,-8.49229907989502,6.828454494476318,-7.205463409423828,1.0,S1C_IW_GRDH_1SDV_20260320T161632_20260320T161657_006850_00DD99_E19F_COG.SAFE
2026-03-26,ascending,-13.267255783081055,-100.0,-1.3878560066223145,3.720627784729004,-21.166048049926758,-100.0,-5.979068756103516,10.203718185424805,-7.898792266845703,1.0,S1A_IW_GRDH_1SDV_20260326T161744_20260326T161809_063801_0805D9_AFB4_COG.SAFE
2026-04-01,ascending,-11.712969779968262,-25.140918731689453,-0.35035356879234314,3.205272912979126,-18.609956741333008,-100.0,-5.9803643226623535,4.431760311126709,-6.896986961364746,1.0,S1C_IW_GRDH_1SDV_20260401T161633_20260401T161658_007025_00E398_51E6_COG.SAFE
2026-04-07,ascending,-12.534692764282227,-36.69291305541992,-0.26562508940696716,3.508497714996338,-20.362815856933594,-100.0,-7.538127422332764,9.808470726013184,-7.828123092651367,1.0,S1A_IW_GRDH_1SDV_20260407T161744_20260407T161809_063976_080C5D_C326_COG.SAFE
2026-04-13,ascending,-12.990934371948242,-26.458322525024414,-1.0602529048919678,3.4555697441101074,-19.640287399291992,-100.0,-7.437139987945557,5.531102180480957,-6.64935302734375,1.0,S1C_IW_GRDH_1SDV_20260413T161633_20260413T161658_007200_00E973_F46E_COG.SAFE
2026-04-19,ascending,-12.986174583435059,-31.951553344726562,-1.633409023284912,3.4765312671661377,-20.290435791015625,-100.0,-6.467606067657471,8.426042556762695,-7.304261207580566,1.0,S1A_IW_GRDH_1SDV_20260419T161744_20260419T161809_064151_0812EB_D28E_COG.SAFE
2026-04-25,ascending,-13.024209976196289,-37.27978515625,-1.9508774280548096,3.4915356636047363,-19.282638549804688,-100.0,-6.6966447830200195,4.779632091522217,-6.258428573608398,1.0,S1C_IW_GRDH_1SDV_20260425T161634_20260425T161659_007375_00EF61_2CA2_COG.SAFE
2026-04-26,ascending,-13.22296142578125,-33.05723571777344,-1.8755481243133545,3.303507089614868,-19.960891723632812,-100.0,-7.6303935050964355,5.2971038818359375,-6.7379302978515625,1.0,S1D_IW_GRDH_1SDV_20260426T161644_20260426T161709_002520_0042B6_FDCE_COG.SAFE
2026-05-01,ascending,-13.26485538482666,-27.73431396484375,-1.599338412284851,3.3674275875091553,-20.76463508605957,-100.0,-7.464745998382568,9.057489395141602,-7.49977970123291,1.0,S1A_IW_GRDH_1SDV_20260501T161744_20260501T161809_064326_081967_5578_COG.SAFE
2026-05-07,ascending,-13.327224731445312,-29.918060302734375,-2.229128360748291,3.2785611152648926,-19.53805923461914,-100.0,-7.73718786239624,4.6681227684021,-6.210834503173828,1.0,S1C_IW_GRDH_1SDV_20260507T161635_20260507T161700_007550_00F54E_3519_COG.SAFE
2026-05-08,ascending,-13.13907241821289,-29.290973663330078,-2.740292549133301,3.2692959308624268,-19.88942527770996,-100.0,-8.434382438659668,5.359052658081055,-6.75035285949707,1.0,S1D_IW_GRDH_1SDV_20260508T161645_20260508T161710_002695_004867_4148_COG.SAFE
2026-05-13,ascending,-11.41495418548584,-28.88100814819336,0.3658885061740875,3.0925471782684326,-17.99081802368164,-100.0,-7.357291221618652,4.531998157501221,-6.575863838195801,1.0,S1A_IW_GRDH_1SDV_20260513T161743_20260513T161808_064501_081FBA_4774_COG.SAFE
2026-05-19,ascending,-12.831500053405762,-26.900442123413086,-1.061736822128296,3.3413913249969482,-19.126550674438477,-100.0,-8.087080001831055,4.3484673500061035,-6.295050621032715,1.0,S1C_IW_GRDH_1SDV_20260519T161636_20260519T161701_007725_00FB2F_02A7_COG.SAFE
2026-05-20,ascending,-12.85486125946045,-45.50022888183594,-0.6612572073936462,3.3664679527282715,-19.04916000366211,-100.0,-6.926401615142822,4.55141544342041,-6.19429874420166,1.0,S1D_IW_GRDH_1SDV_20260520T161645_20260520T161710_002870_004E47_CC1C_COG.SAFE
